sample_id,fault_type,intensity,mode,file_path
leak+blockage_start_0001,leak+blockage,start,low,synthetic_data\combined_faults\leak+blockage_start_low_0001.csv
leak+temp+vib_low_0002,leak+temp+vib,low,start,synthetic_data\combined_faults\leak+temp+vib_low_start_0002.csv
 blockage+pressure_low_0003, blockage+pressure,low,start,synthetic_data\combined_faults\ blockage+pressure_low_start_0003.csv
leak+blockage_start_0004,leak+blockage,start,low,synthetic_data\combined_faults\leak+blockage_start_low_0004.csv
leak+temp+vib_low_0005,leak+temp+vib,low,start,synthetic_data\combined_faults\leak+temp+vib_low_start_0005.csv
 blockage+pressure_low_0006, blockage+pressure,low,start,synthetic_data\combined_faults\ blockage+pressure_low_start_0006.csv
leak+blockage_start_0007,leak+blockage,start,low,synthetic_data\combined_faults\leak+blockage_start_low_0007.csv
leak+temp+vib_low_0008,leak+temp+vib,low,start,synthetic_data\combined_faults\leak+temp+vib_low_start_0008.csv
 blockage+pressure_low_0009, blockage+pressure,low,start,synthetic_data\combined_faults\ blockage+pressure_low_start_0009.csv
leak+blockage_start_0010,leak+blockage,start,low,synthetic_data\combined_faults\leak+blockage_start_low_0010.csv
leak+temp+vib_low_0011,leak+temp+vib,low,start,synthetic_data\combined_faults\leak+temp+vib_low_start_0011.csv
 blockage+pressure_low_0012, blockage+pressure,low,start,synthetic_data\combined_faults\ blockage+pressure_low_start_0012.csv
leak+blockage_start_0013,leak+blockage,start,low,synthetic_data\combined_faults\leak+blockage_start_low_0013.csv
leak+temp+vib_low_0014,leak+temp+vib,low,start,synthetic_data\combined_faults\leak+temp+vib_low_start_0014.csv
 blockage+pressure_low_0015, blockage+pressure,low,start,synthetic_data\combined_faults\ blockage+pressure_low_start_0015.csv
leak+blockage_start_0016,leak+blockage,start,low,synthetic_data\combined_faults\leak+blockage_start_low_0016.csv
leak+temp+vib_low_0017,leak+temp+vib,low,start,synthetic_data\combined_faults\leak+temp+vib_low_start_0017.csv
 blockage+pressure_low_0018, blockage+pressure,low,start,synthetic_data\combined_faults\ blockage+pressure_low_start_0018.csv
leak+blockage_start_0019,leak+blockage,start,low,synthetic_data\combined_faults\leak+blockage_start_low_0019.csv
leak+temp+vib_low_0020,leak+temp+vib,low,start,synthetic_data\combined_faults\leak+temp+vib_low_start_0020.csv
 blockage+pressure_low_0021, blockage+pressure,low,start,synthetic_data\combined_faults\ blockage+pressure_low_start_0021.csv
leak+blockage_start_0022,leak+blockage,start,low,synthetic_data\combined_faults\leak+blockage_start_low_0022.csv
leak+temp+vib_low_0023,leak+temp+vib,low,start,synthetic_data\combined_faults\leak+temp+vib_low_start_0023.csv
