sample_id,category,subtype,mode,intensity,file_path
normal_normal_1_0000,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0000.csv
normal_normal_2_0000,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0000.csv
normal_normal_1_0001,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0001.csv
normal_normal_2_0001,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0001.csv
normal_normal_1_0002,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0002.csv
normal_normal_2_0002,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0002.csv
normal_normal_1_0003,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0003.csv
normal_normal_2_0003,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0003.csv
normal_normal_1_0004,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0004.csv
normal_normal_2_0004,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0004.csv
normal_normal_1_0005,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0005.csv
normal_normal_2_0005,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0005.csv
normal_normal_1_0006,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0006.csv
normal_normal_2_0006,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0006.csv
normal_normal_1_0007,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0007.csv
normal_normal_2_0007,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0007.csv
normal_normal_1_0008,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0008.csv
normal_normal_2_0008,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0008.csv
normal_normal_1_0009,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0009.csv
